id,fabric_code,name,category_name,composition,weight_gsm,width_inches,construction,finish,color,price_per_meter,currency,moq_meters,lead_time_days,sample_price,sample_length_meters,status,visibility,created_at,updated_at,seller_id,seller_company,seller_code,seller_city,seller_state,tags,certifications,description,image_count,primary_image_url,is_in_stock,available_quantity_meters,article_id
87ec9eff-6a49-4f02-b7fd-23fb5198f1cb,LF-5TFVN,Organic Cotton Canvas,Cotton Fabrics,100% Organic Cotton,280,60 inches,,Enzyme Washed,Natural,,INR,300 meters,,,,,,2026-02-09T07:04:53.491330+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,organic; canvas; gots; heavy,,"Heavy canvas weave. GOTS certified organic cotton. Applications: bags, workwear, upholstery.",1,https://images.unsplash.com/photo-1594761051656-153e3be6a9a3?w=800,,,
96446143-21e9-4d8b-b887-2c54686f95f0,LF-C73BR,Cotton Single Jersey,Polyester Fabrics,"95% Cotton, 5% Elastane",180,72 inches (tubular),,Bio-polished,Multiple colors available,,INR,400 meters,,,,,,2026-02-09T07:04:53.491349+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,jersey; stretch; tshirt; knit,,Single jersey knit with elastane. Bio-polish finish reduces pilling. Suitable for t-shirts and casual wear.,1,https://images.unsplash.com/photo-1647699926980-b7d360761521?w=800,,,
140bc5e0-0acc-4023-98d2-4626bd204d4b,LF-X27YJ,PC Blend Twill 65/35,Polyester Fabrics,"65% Polyester, 35% Cotton",220,58 inches,,Wrinkle-resistant,Khaki,,INR,600 meters,,,,,,2026-02-09T07:04:53.491356+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,twill; uniform; workwear; blend,,"2/1 twill weave. Poly-cotton blend. Wrinkle-resistant finish. Applications: uniforms, workwear, institutional fabrics.",1,https://images.unsplash.com/photo-1558171814-05506ed68369?w=800,,,
5f6c6a6e-4d7d-4e51-885e-5a68b262de8d,LF-BIC22,Stretch Denim 10oz,,"98% Cotton, 2% Spandex",340,56 inches,,Stone Washed,Indigo,,INR,500 meters,,,,,,2026-02-09T07:04:53.491362+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,denim; stretch; jeans; indigo,,3/1 right hand twill denim. Weight: 10oz. Stone wash finish available. Stretch for comfort fit.,2,https://images.unsplash.com/photo-1565084888279-aca607ecce0c?w=800,,,
b48164be-6a03-49c1-871c-4d576326e119,LF-1DZVR,Recycled Polyester Taffeta,,100% Recycled Polyester,150,60 inches,,Water-repellent,Black,,INR,400 meters,,,,,,2026-02-09T07:04:53.491367+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,recycled; grs; outerwear; taffeta,,"Taffeta weave from recycled PET. GRS certified. Water-repellent finish available. Applications: outerwear, bags.",1,https://images.unsplash.com/photo-1606041008023-472dfb5e530f?w=800,,,
73939444-8b32-48f7-8bb3-70fef7b69645,LF-1U081,Cotton Lycra Interlock,Cotton Fabrics,"[{'material': 'Cotton', 'percentage': 90}, {'material': 'Lycra', 'percentage': 10}]",206,60'' (open),,Bio wash,White,,INR,50kg,,,,,,2026-02-09T07:04:53.491374+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,sports; activewear; interlock; performance,," Moisture-wicking treatment. Applications: sportswear, activewear, athleisure.",2,/api/uploads/7cfe65df-c887-47e6-ad77-2de5d1fd23e6.jpeg,,,
1ccd18c8-dca3-43eb-b375-c98d25d567ec,LF-QTGT2,Tencel Lyocell Sateen,,100% Tencel Lyocell,160,58 inches,,Sateen,Sage Green,,INR,250 meters,,,,,,2026-02-09T07:04:53.491380+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,tencel; lyocell; sateen; fsc,,"Sateen weave Tencel Lyocell. FSC certified. Applications: dresses, blouses, bedding.",1,https://images.unsplash.com/photo-1560258632-fb994fd2bd44?w=800,,,
f5a9e57d-9202-475c-a8d8-c8bcf3bde2c3,LF-9M7FA,cotton interlock,Cotton Fabrics,"[{'material': 'Cotton', 'percentage': 100}]",180,60'' (Open),,Bio Finish,All Over Print,,INR,50kg,,,,,,2026-02-09T10:34:14.435035+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,T-shirt; Sweet Shirt; Shirt,,"100%Cotton, count 36's, Printed ",4,/api/uploads/d7bdd874-2418-49b9-9acb-dd4a651becc1.jpeg,,,
46fee096-647d-4aef-beda-dcd7862bbc35,LF-TJUKY,Cotton voile,,"[{'material': 'Cotton', 'percentage': 100}]",67,54'',,,all over print,,INR,1000mtr,,,,,,2026-02-09T11:30:32.729800+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,cotton voile lining fabric plain weave,,"Plain weave cotton voile. count:60's X 80's, Construction: 100x80, suitable for baby dress and lining fabric",1,/api/uploads/b47191c3-f8ec-4888-8ad1-786adbac299f.jpeg,,,
cdb614cb-a3cc-4203-bc44-67f558dbbcf9,LF-92FHM,Cotton poplin 40x40,,"[{'material': 'Cotton', 'percentage': 100}]",115,58'',,Normal,Blue,,INR,1500MTR,,,,,,2026-02-09T15:49:34.157435+00:00,,532b7c34-2ab7-4e8e-9889-003f115d9a8f,,LS-RK6CN,Gurugram,Haryana,Cotton poplin dyed count:40x40,,"Shirt, kurta",3,/api/uploads/718f4051-e9a0-4c67-bdc8-850c9670e039.jpeg,,,
